,symboling,normalized-losses,make,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price,city-L/100km,horsepower-binned,diesel,gas,aspiration-std,aspiration-turbo
0,3,122,alfa-romero,two,convertible,rwd,front,88.6000,0.8111,0.8903,0.8161,2548,dohc,four,130,mpfi,3.4700,2.6800,9.0000,111,5000.0000,21,8.7037,13495.0000,11.1905,Low,0,1,1,0
1,3,122,alfa-romero,two,convertible,rwd,front,88.6000,0.8111,0.8903,0.8161,2548,dohc,four,130,mpfi,3.4700,2.6800,9.0000,111,5000.0000,21,8.7037,16500.0000,11.1905,Low,0,1,1,0
2,1,122,alfa-romero,two,hatchback,rwd,front,94.5000,0.8227,0.9097,0.8763,2823,ohcv,six,152,mpfi,2.6800,3.4700,9.0000,154,5000.0000,19,9.0385,16500.0000,12.3684,Medium,0,1,1,0
3,2,164,audi,four,sedan,fwd,front,99.8000,0.8486,0.9194,0.9080,2337,ohc,four,109,mpfi,3.1900,3.4000,10.0000,102,5500.0000,24,7.8333,13950.0000,9.7917,Low,0,1,1,0
4,2,164,audi,four,sedan,4wd,front,99.4000,0.8486,0.9222,0.9080,2824,ohc,five,136,mpfi,3.1900,3.4000,8.0000,115,5500.0000,18,10.6818,17450.0000,13.0556,Low,0,1,1,0
5,2,122,audi,two,sedan,fwd,front,99.8000,0.8520,0.9208,0.8880,2507,ohc,five,136,mpfi,3.1900,3.4000,8.5000,110,5500.0000,19,9.4000,15250.0000,12.3684,Low,0,1,1,0
6,1,158,audi,four,sedan,fwd,front,105.8000,0.9260,0.9917,0.9314,2844,ohc,five,136,mpfi,3.1900,3.4000,8.5000,110,5500.0000,19,9.4000,17710.0000,12.3684,Low,0,1,1,0
7,1,122,audi,four,wagon,fwd,front,105.8000,0.9260,0.9917,0.9314,2954,ohc,five,136,mpfi,3.1900,3.4000,8.5000,110,5500.0000,19,9.4000,18920.0000,12.3684,Low,0,1,1,0
8,1,158,audi,four,sedan,fwd,front,105.8000,0.9260,0.9917,0.9348,3086,ohc,five,131,mpfi,3.1300,3.4000,8.3000,140,5500.0000,17,11.7500,23875.0000,13.8235,Medium,0,1,0,1
9,2,192,bmw,two,sedan,rwd,front,101.2000,0.8496,0.9000,0.9080,2395,ohc,four,108,mpfi,3.5000,2.8000,8.8000,101,5800.0000,23,8.1034,16430.0000,10.2174,Low,0,1,1,0
10,0,192,bmw,four,sedan,rwd,front,101.2000,0.8496,0.9000,0.9080,2395,ohc,four,108,mpfi,3.5000,2.8000,8.8000,101,5800.0000,23,8.1034,16925.0000,10.2174,Low,0,1,1,0
11,0,188,bmw,two,sedan,rwd,front,101.2000,0.8496,0.9000,0.9080,2710,ohc,six,164,mpfi,3.3100,3.1900,9.0000,121,4250.0000,21,8.3929,20970.0000,11.1905,Medium,0,1,1,0
12,0,188,bmw,four,sedan,rwd,front,101.2000,0.8496,0.9000,0.9080,2765,ohc,six,164,mpfi,3.3100,3.1900,9.0000,121,4250.0000,21,8.3929,21105.0000,11.1905,Medium,0,1,1,0
13,1,122,bmw,four,sedan,rwd,front,103.5000,0.9082,0.9292,0.9314,3055,ohc,six,164,mpfi,3.3100,3.1900,9.0000,121,4250.0000,20,9.4000,24565.0000,11.7500,Medium,0,1,1,0
14,0,122,bmw,four,sedan,rwd,front,103.5000,0.9082,0.9292,0.9314,3230,ohc,six,209,mpfi,3.6200,3.3900,8.0000,182,5400.0000,16,10.6818,30760.0000,14.6875,Medium,0,1,1,0
15,0,122,bmw,two,sedan,rwd,front,103.5000,0.9313,0.9431,0.8980,3380,ohc,six,209,mpfi,3.6200,3.3900,8.0000,182,5400.0000,16,10.6818,41315.0000,14.6875,Medium,0,1,1,0
16,0,122,bmw,four,sedan,rwd,front,110.0000,0.9467,0.9847,0.9415,3505,ohc,six,209,mpfi,3.6200,3.3900,8.0000,182,5400.0000,15,11.7500,36880.0000,15.6667,Medium,0,1,1,0
17,2,121,chevrolet,two,hatchback,fwd,front,88.4000,0.6780,0.8375,0.8896,1488,l,three,61,2bbl,2.9100,3.0300,9.5000,48,5100.0000,47,4.4340,5151.0000,5.0000,Low,0,1,1,0
18,1,98,chevrolet,two,hatchback,fwd,front,94.5000,0.7492,0.8833,0.8696,1874,ohc,four,90,2bbl,3.0300,3.1100,9.6000,70,5400.0000,38,5.4651,6295.0000,6.1842,Low,0,1,1,0
19,0,81,chevrolet,four,sedan,fwd,front,94.5000,0.7631,0.8833,0.8696,1909,ohc,four,90,2bbl,3.0300,3.1100,9.6000,70,5400.0000,38,5.4651,6575.0000,6.1842,Low,0,1,1,0
20,1,118,dodge,two,hatchback,fwd,front,93.7000,0.7559,0.8861,0.8495,1876,ohc,four,90,2bbl,2.9700,3.2300,9.4100,68,5500.0000,37,5.7317,5572.0000,6.3514,Low,0,1,1,0
21,1,118,dodge,two,hatchback,fwd,front,93.7000,0.7559,0.8861,0.8495,1876,ohc,four,90,2bbl,2.9700,3.2300,9.4000,68,5500.0000,31,6.1842,6377.0000,7.5806,Low,0,1,1,0
22,1,118,dodge,two,hatchback,fwd,front,93.7000,0.7559,0.8861,0.8495,2128,ohc,four,98,mpfi,3.0300,3.3900,7.6000,102,5500.0000,24,7.8333,7957.0000,9.7917,Low,0,1,0,1
23,1,148,dodge,four,hatchback,fwd,front,93.7000,0.7559,0.8861,0.8462,1967,ohc,four,90,2bbl,2.9700,3.2300,9.4000,68,5500.0000,31,6.1842,6229.0000,7.5806,Low,0,1,1,0
24,1,148,dodge,four,sedan,fwd,front,93.7000,0.7559,0.8861,0.8462,1989,ohc,four,90,2bbl,2.9700,3.2300,9.4000,68,5500.0000,31,6.1842,6692.0000,7.5806,Low,0,1,1,0
25,1,148,dodge,four,sedan,fwd,front,93.7000,0.7559,0.8861,0.8462,1989,ohc,four,90,2bbl,2.9700,3.2300,9.4000,68,5500.0000,31,6.1842,7609.0000,7.5806,Low,0,1,1,0
26,1,148,dodge,four,sedan,fwd,front,93.7000,0.7559,0.8861,0.8462,2191,ohc,four,98,mpfi,3.0300,3.3900,7.6000,102,5500.0000,24,7.8333,8558.0000,9.7917,Low,0,1,0,1
27,-1,110,dodge,four,wagon,fwd,front,103.3000,0.8390,0.8972,1.0000,2535,ohc,four,122,2bbl,3.3400,3.4600,8.5000,88,5000.0000,24,7.8333,8921.0000,9.7917,Low,0,1,1,0
28,3,145,dodge,two,hatchback,fwd,front,95.9000,0.8323,0.9208,0.8395,2811,ohc,four,156,mfi,3.6000,3.9000,7.0000,145,5000.0000,19,9.7917,12964.0000,12.3684,Medium,0,1,0,1
29,2,137,honda,two,hatchback,fwd,front,86.6000,0.6949,0.8875,0.8495,1713,ohc,four,92,1bbl,2.9100,3.4100,9.6000,58,4800.0000,49,4.3519,6479.0000,4.7959,Low,0,1,1,0
30,2,137,honda,two,hatchback,fwd,front,86.6000,0.6949,0.8875,0.8495,1819,ohc,four,92,1bbl,2.9100,3.4100,9.2000,76,6000.0000,31,6.1842,6855.0000,7.5806,Low,0,1,1,0
31,1,101,honda,two,hatchback,fwd,front,93.7000,0.7208,0.8889,0.8796,1837,ohc,four,79,1bbl,2.9100,3.0700,10.1000,60,5500.0000,38,5.5952,5399.0000,6.1842,Low,0,1,1,0
32,1,101,honda,two,hatchback,fwd,front,93.7000,0.7208,0.8889,0.8796,1940,ohc,four,92,1bbl,2.9100,3.4100,9.2000,76,6000.0000,30,6.9118,6529.0000,7.8333,Low,0,1,1,0
33,1,101,honda,two,hatchback,fwd,front,93.7000,0.7208,0.8889,0.8796,1956,ohc,four,92,1bbl,2.9100,3.4100,9.2000,76,6000.0000,30,6.9118,7129.0000,7.8333,Low,0,1,1,0
34,0,110,honda,four,sedan,fwd,front,96.5000,0.7852,0.8889,0.9114,2010,ohc,four,92,1bbl,2.9100,3.4100,9.2000,76,6000.0000,30,6.9118,7295.0000,7.8333,Low,0,1,1,0
35,0,78,honda,four,wagon,fwd,front,96.5000,0.7549,0.8875,0.9749,2024,ohc,four,92,1bbl,2.9200,3.4100,9.2000,76,6000.0000,30,6.9118,7295.0000,7.8333,Low,0,1,1,0
36,0,106,honda,two,hatchback,fwd,front,96.5000,0.8049,0.9056,0.8913,2236,ohc,four,110,1bbl,3.1500,3.5800,9.0000,86,5800.0000,27,7.1212,7895.0000,8.7037,Low,0,1,1,0
37,0,106,honda,two,hatchback,fwd,front,96.5000,0.8049,0.9056,0.8913,2289,ohc,four,110,1bbl,3.1500,3.5800,9.0000,86,5800.0000,27,7.1212,9095.0000,8.7037,Low,0,1,1,0
38,0,85,honda,four,sedan,fwd,front,96.5000,0.8429,0.9056,0.9047,2304,ohc,four,110,1bbl,3.1500,3.5800,9.0000,86,5800.0000,27,7.1212,8845.0000,8.7037,Low,0,1,1,0
39,0,85,honda,four,sedan,fwd,front,96.5000,0.8429,0.8681,0.9047,2372,ohc,four,110,1bbl,3.1500,3.5800,9.0000,86,5800.0000,27,7.1212,10295.0000,8.7037,Low,0,1,1,0
40,0,85,honda,four,sedan,fwd,front,96.5000,0.8429,0.9056,0.9047,2465,ohc,four,110,mpfi,3.1500,3.5800,9.0000,101,5800.0000,24,8.3929,12945.0000,9.7917,Low,0,1,1,0
41,1,107,honda,two,sedan,fwd,front,96.5000,0.8126,0.9167,0.8528,2293,ohc,four,110,2bbl,3.1500,3.5800,9.1000,100,5500.0000,25,7.5806,10345.0000,9.4000,Low,0,1,1,0
42,0,122,isuzu,four,sedan,rwd,front,94.3000,0.8203,0.8583,0.8946,2337,ohc,four,111,2bbl,3.3100,3.2300,8.5000,78,4800.0000,24,8.1034,6785.0000,9.7917,Low,0,1,1,0
43,2,122,isuzu,two,hatchback,rwd,front,96.0000,0.8294,0.9056,0.8595,2734,ohc,four,119,spfi,3.4300,3.2300,9.2000,90,5000.0000,24,8.1034,11048.0000,9.7917,Low,0,1,1,0
